feature,mean_abs_shap
pm10_lag_24,0.052815819549560356
o3_rolling_mean_12,0.05015669326782184
pm2_5_rolling_max_12,0.04746267986297546
day_of_week_sin,0.044383525276184096
pm2_5_rolling_min_3,0.04424613227844272
pm10_rolling_std_6,0.044118989562989167
so2_rolling_mean_3,0.04126131706237761
hour_sin,0.038075559806823804
co_rolling_max_6,0.0354507835388192
co_rolling_mean_3,0.03315493812561069
day_of_week,0.03201131191253701
hour,0.03135438251495369
co_rolling_mean_12,0.030116165733337575
co_rolling_min_6,0.028277169418334865
so2_rolling_min_6,0.024928170394898218
pm10_rolling_max_24,0.022275169754028212
so2_rolling_std_12,0.02064338951110827
o3_rolling_max_24,0.019821715354919115
so2_lag_1,0.019117820358276562
pm10_rolling_mean_3,0.015226484298706034
no2_rolling_mean_12,0.013694875335693836
pm10_lag_12,0.013625560569762918
so2_rolling_min_12,0.013270081901550164
o3_rolling_min_6,0.012427078437805541
pm10_rolling_min_6,0.01234942188262888
no2_rolling_max_24,0.012326247406005564
month_sin,0.01137795047760008
pm10_rolling_max_12,0.00883472633361798
no2_rolling_min_24,0.005230756568908462
co_rolling_mean_24,0.004646578216552442
month,0.0031304626464842755
co_rolling_std_24,0.0031125375747683747
co_rolling_max_12,0.0006955513000488623
day_of_month,6.49557113647603e-05
co_normalized,0.0
no2_normalized,0.0
so2_normalized,0.0
pm10_normalized,0.0
pm2_5_normalized,0.0
co_rolling_max_24,0.0
nh3,0.0
dominant_pollutant,0.0
so2_rolling_min_24,0.0
day_of_week_cos,0.0
month_cos,0.0
is_weekend,0.0
o3_normalized,0.0
